Prompt;Accepted;Rejected;;
Recommended film if you watched:Newton Boys; The (1998);Waiting to Exhale (1995)-Heat (1995)-Nixon (1995)-Get Shorty (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Sabrina (1995);
Recommended film if you watched:Wild Things (1998);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Casino (1995)-Sense and Sensibility (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Paulie (1998);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Tom and Huck (1995)-GoldenEye (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-Sudden Death (1995);;
Recommended film if you watched:Cool Dry Place; A (1998);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Hana-bi (1997);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-American President, The (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Tom and Huck (1995)-Sudden Death (1995);;
Recommended film if you watched:Primary Colors (1998);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Niagara; Niagara (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Wide Awake (1998);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995);Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995)-Sudden Death (1995)-GoldenEye (1995);;
Recommended film if you watched:Price Above Rubies; A (1998);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Eden (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Two Girls and a Guy (1997);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:No Looking Back (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Storefront Hitchcock (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Proposition; The (1998);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Object of My Affection; The (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);
Recommended film if you watched:Meet the Deedles (1998);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-Babe (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-Tom and Huck (1995);;
Recommended film if you watched:Homegrown (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-GoldenEye (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Tom and Huck (1995)-Sudden Death (1995);;
Recommended film if you watched:Player's Club; The (1998);Waiting to Exhale (1995)-Heat (1995)-GoldenEye (1995)-Nixon (1995)-Cutthroat Island (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Sabrina (1995);
Recommended film if you watched:Barney's Great Adventure (1998);Jumanji (1995)-Tom and Huck (1995)-GoldenEye (1995)-Balto (1995)-Cutthroat Island (1995);Toy Story (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Big One; The (1997);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);
Recommended film if you watched:Chinese Box (1997);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Follow the Bitch (1998);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Lost in Space (1998);Heat (1995)-GoldenEye (1995)-Cutthroat Island (1995)-Casino (1995)-Four Rooms (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Heaven's Burning (1997);Waiting to Exhale (1995)-Heat (1995)-GoldenEye (1995)-Nixon (1995)-Cutthroat Island (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Sabrina (1995);;
Recommended film if you watched:Mercury Rising (1998);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Spanish Prisoner; The (1997);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Casino (1995)-Sense and Sensibility (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:City of Angels (1998);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Sense and Sensibility (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Last Days of Disco; The (1998);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Odd Couple II; The (1998);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);
Recommended film if you watched:My Giant (1998);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:He Got Game (1998);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Gingerbread Man; The (1998);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Casino (1995)-Sense and Sensibility (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Illtown (1996);Waiting to Exhale (1995)-Heat (1995)-Nixon (1995)-Get Shorty (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Sabrina (1995);;
Recommended film if you watched:Slappy and the Stinkers (1998);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-Babe (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-Tom and Huck (1995);;
Recommended film if you watched:Live Flesh (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Zero Effect (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-GoldenEye (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Tom and Huck (1995)-Sudden Death (1995);;
Recommended film if you watched:Nil By Mouth (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Ratchet (1996);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Casino (1995)-Sense and Sensibility (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Borrowers; The (1997);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995);Father of the Bride Part II (1995)-Heat (1995)-Sudden Death (1995)-Balto (1995)-Nixon (1995);
Recommended film if you watched:Prince Valiant (1997);Mortal Kombat (1995)-Waterworld (1995)-Good Man in Africa, A (1994)-Quest, The (1996)-Phantom, The (1996);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:I Love You; Don't Touch Me! (1998);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Leather Jacket Love Story (1997);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Love Walked In (1998);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Casino (1995)-Sense and Sensibility (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Alan Smithee Film: Burn Hollywood Burn; An (1997);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);
Recommended film if you watched:Kissing a Fool (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Krippendorf's Tribe (1998);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Kurt & Courtney (1998);Misérables, Les (1995)-Muppet Treasure Island (1996)-Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)-Farinelli: il castrato (1994)-Backbeat (1993);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Real Blonde; The (1997);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);
Recommended film if you watched:Mr. Nice Guy (1997);Toy Story (1995)-Father of the Bride Part II (1995)-Heat (1995)-GoldenEye (1995)-Cutthroat Island (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-Tom and Huck (1995);;
Recommended film if you watched:Taste of Cherry (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Character (Karakter) (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Junk Mail (1997);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-GoldenEye (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Tom and Huck (1995)-Sudden Death (1995);;
Recommended film if you watched:Species II (1998);Powder (1995)-City of Lost Children, The (1995)-Twelve Monkeys (1995)-From Dusk Till Dawn (1996)-Congo (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Major League: Back to the Minors (1998);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Sour Grapes (1998);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Wild Man Blues (1998);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Big Hit; The (1998);Toy Story (1995)-Father of the Bride Part II (1995)-Heat (1995)-GoldenEye (1995)-Cutthroat Island (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-Tom and Huck (1995);
Recommended film if you watched:Tarzan and the Lost City (1998);Heat (1995)-GoldenEye (1995)-Cutthroat Island (1995)-Get Shorty (1995)-Dead Presidents (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Truce; The (1996);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Black Dog (1998);Heat (1995)-GoldenEye (1995)-Cutthroat Island (1995)-Casino (1995)-Four Rooms (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Dancer; Texas Pop. 81 (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);
Recommended film if you watched:Friend of the Deceased; A (1997);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);
Recommended film if you watched:Go Now (1995);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Misérables; Les (1998);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Still Breathing (1997);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Clockwatchers (1997);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Deep Impact (1998);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Little Men (1998);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Woo (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Hanging Garden; The (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Lawn Dogs (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Quest for Camelot (1998);Toy Story (1995)-Jumanji (1995)-Tom and Huck (1995)-GoldenEye (1995)-Balto (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Godzilla (1998);Heat (1995)-GoldenEye (1995)-Cutthroat Island (1995)-Get Shorty (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Bulworth (1998);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Fear and Loathing in Las Vegas (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Opposite of Sex; The (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);
Recommended film if you watched:I Got the Hook Up (1998);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Almost Heroes (1998);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Tom and Huck (1995)-GoldenEye (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-Sudden Death (1995);;
Recommended film if you watched:Hope Floats (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Insomnia (1997);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Little Boy Blue (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Ugly; The (1997);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Perfect Murder; A (1998);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Beyond Silence (1996);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Six Days Seven Nights (1998);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-Tom and Huck (1995);Toy Story (1995)-Father of the Bride Part II (1995)-Heat (1995)-Sudden Death (1995)-Balto (1995);;
Recommended film if you watched:Can't Hardly Wait (1998);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Cousin Bette (1998);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:High Art (1998);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Land Girls; The (1998);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Passion in the Desert (1998);Jumanji (1995)-Waiting to Exhale (1995)-Tom and Huck (1995)-GoldenEye (1995)-Nixon (1995);Toy Story (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Children of Heaven; The (Bacheha-Ye Aseman) (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Dear Jesse (1997);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Dream for an Insomniac (1996);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Hav Plenty (1997);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Henry Fool (1997);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Marie Baie Des Anges (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Mr. Jealousy (1997);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Mulan (1998);Toy Story (1995)-Tom and Huck (1995)-Balto (1995)-Pocahontas (1995)-Amazing Panda Adventure, The (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Resurrection Man (1998);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Casino (1995)-Sense and Sensibility (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:X-Files: Fight the Future; The (1998);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:I Went Down (1997);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-GoldenEye (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Tom and Huck (1995)-Sudden Death (1995);;
